area label,area long label,area,"KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population","KSI casualties on England's roads per 100,000 population"
area label,area long label,area,12019,12019,12019,12019,12019,12019
area label,area long label,area,"Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people","Per 100,000 people"
area label,area long label,area,raw,raw,raw,raw,raw,raw
Norwich,Norwich (District),E07000148,37.8,39.5,42,41.5,43.6,47
Nottingham,Nottingham (Unitary),E06000018,43.8,38.6,38.6,39.5,39.7,37.1
Nottinghamshire,Nottinghamshire (County),E10000024,52.4,47.3,41.9,40.8,40.5,40
Nuneaton and Bedworth,Nuneaton and Bedworth (District),E07000219,35.2,38.6,36.2,35.8,31.6,35.8
Oadby and Wigston,Oadby and Wigston (District),E07000135,12.5,10.7,14.9,17.3,18.5,18.1
Oldham,Oldham (Metropolitan borough),E08000004,26.4,25.6,27.8,28.1,27.8,26
Oxford,Oxford (District),E07000178,38.1,41.6,39.9,44.8,40.6,35.6
Oxfordshire,Oxfordshire (County),E10000025,49.9,50.8,53.1,54.2,49.1,44.4
Pendle,Pendle (District),E07000122,42.4,46.7,50.2,56,52.3,49.6
Peterborough,Peterborough (Unitary),E06000031,44.3,43.7,40.1,40.4,45.6,47.8
Plymouth,Plymouth (Unitary),E06000026,25.7,27.1,29,33,36.1,38.6
Portsmouth,Portsmouth (Unitary),E06000044,61.7,54.2,51.8,50.3,51.9,52.3
Preston,Preston (District),E07000123,43.4,47.1,51.5,58.8,54.8,51.6
Reading,Reading (Unitary),E06000038,30.2,28.4,27,26,28.3,30.5
Redbridge,Redbridge (London borough),E09000026,25.8,22.2,17.5,19.5,22.9,28.3
Redcar and Cleveland,Redcar and Cleveland (Unitary),E06000003,26.4,29.9,32.6,33.5,31.7,25.5
Redditch,Redditch (District),E07000236,17.4,18.1,20.1,24,28.6,27.8
Reigate and Banstead,Reigate and Banstead (District),E07000211,43.2,46.8,46,48,47,50.6
Ribble Valley,Ribble Valley (District),E07000124,66,68,74.6,72.9,70.8,64.4
Richmond upon Thames,Richmond upon Thames (London borough),E09000027,29.8,26.9,24.1,24,27.7,35.6
Richmondshire,Richmondshire (District),E07000166,102.2,100.8,103.5,97,87.9,73.2
Rochdale,Rochdale (Metropolitan borough),E08000005,22,24.5,26.5,30.6,27.9,26.5
Rochford,Rochford (District),E07000075,31,34.9,32.2,39.5,36.2,39.8
Rossendale,Rossendale (District),E07000125,48.3,52.4,49.2,49,43.5,42.2
Rother,Rother (District),E07000064,76.1,84,84.8,92.6,89.7,88.4
Rotherham,Rotherham (Metropolitan borough),E08000018,36.6,37.6,37.3,39.2,43.4,52.4
Rugby,Rugby (District),E07000220,52.5,54,62.7,74.4,75,67.7
Runnymede,Runnymede (District),E07000212,60.3,61.4,68.3,66.3,59.4,71
Rushcliffe,Rushcliffe (District),E07000176,57.1,53.4,52.5,48,46.3,41.1
Rushmoor,Rushmoor (District),E07000092,37.6,36.2,39.9,38.9,39.5,35.1
Rutland,Rutland (Unitary),E06000017,52.1,56.5,61,69.5,61.6,54
Ryedale,Ryedale (District),E07000167,119.5,119.1,102.8,86.3,85.4,86.5
Salford,Salford (Metropolitan borough),E08000006,29.3,29.5,25.3,24.2,26.1,29.7
Sandwell,Sandwell (Metropolitan borough),E08000028,34.7,35,35.3,38.5,38.3,36.8
Scarborough,Scarborough (District),E07000168,58.3,52.3,44.7,39.5,43.8,38.1
Sedgemoor,Sedgemoor (District),E07000188,43.7,43.4,37,34.1,30.5,29.5
Sefton,Sefton (Metropolitan borough),E08000014,32.6,33.5,37.4,37,39.1,35.9
Selby,Selby (District),E07000169,61.4,62,54.1,53,50.6,52
Sevenoaks,Sevenoaks (District),E07000111,51.9,54.8,58.9,60.4,58.5,55.8
Sheffield,Sheffield (Metropolitan borough),E08000019,30.6,31.8,29.4,31.3,39.1,50.7
Shropshire,Shropshire (Unitary),E06000051,41.7,43.7,43,49.1,53,52.6
Slough,Slough (Unitary),E06000039,32.9,33.2,34.4,33.8,30.9,31.8
Solihull,Solihull (Metropolitan borough),E08000029,27,24.1,21.6,24,25.8,25.2
Somerset,Somerset (County),E10000027,40.7,40.1,39.7,37.3,35,33.8
Somerset West and Taunton,Somerset West and Taunton (District),E07000246,38.3,35,35.1,33.6,33.5,32.8
South Cambridgeshire,South Cambridgeshire (District),E07000012,52.6,51.4,50.3,54.2,57.9,63.6
South Derbyshire,South Derbyshire (District),E07000039,46.9,43.9,40,41.3,37.5,42
South Gloucestershire,South Gloucestershire (Unitary),E06000025,17.9,21.1,20.8,19.2,17,17.7
South Hams,South Hams (District),E07000044,41.8,44.4,44.6,51.4,54.2,54.3
South Holland,South Holland (District),E07000140,69.3,68.4,57.5,51.9,58.4,59.7
South Kesteven,South Kesteven (District),E07000141,48.6,39.8,41.4,41.6,48.7,55.1
South Lakeland,South Lakeland (District),E07000031,55.4,55,63.4,64.6,77.4,78
South Norfolk,South Norfolk (District),E07000149,48.7,46.5,49.5,51.3,50.6,54.4
South Oxfordshire,South Oxfordshire (District),E07000179,55.3,49.9,56,57.2,54.1,43.6
South Ribble,South Ribble (District),E07000126,46.8,47.1,48.9,48,48.4,49.5
South Somerset,South Somerset (District),E07000189,34.3,36.4,39.8,39.1,37.8,33.3
South Staffordshire,South Staffordshire (District),E07000196,28.6,24.5,32.2,34.3,39.3,31.6
South Tyneside,South Tyneside (Metropolitan borough),E08000023,20.5,20.9,19.3,24.7,29.3,32.1
Southampton,Southampton (Unitary),E06000045,54.1,49.6,51.2,50.1,47.7,45.8
Southend-on-Sea,Southend-on-Sea (Unitary),E06000033,34.8,37.8,39.4,46.3,45.8,43.5
Southwark,Southwark (London borough),E09000028,37.5,30.5,27,25.8,34.2,44.7
Spelthorne,Spelthorne (District),E07000213,38.6,41.4,49.3,48.1,43.2,47.8
St Albans,St Albans (District),E07000240,38.9,38.1,37.6,39,36,39.4
St. Helens,St. Helens (Metropolitan borough),E08000013,40.9,39.7,35.2,33.6,31.9,36.8
Stafford,Stafford (District),E07000197,26.1,22.5,21.5,29.7,29.2,31.4
Staffordshire,Staffordshire (County),E10000028,23,22,23.5,28.1,29.9,27.2
Staffordshire Moorlands,Staffordshire Moorlands (District),E07000198,29.5,29.7,27.6,30.6,32.6,30.5
Stevenage,Stevenage (District),E07000243,25.9,23.8,25.6,26.6,30.6,26.6
